,Date,Public Transport Route,Station,Weather Condition,Time of Day,Delay Due to Weather (minutes),Temperature (°C),Rainfall (mm),Wind Speed (km/h),Humidity (%)
30797,2022-04-29 13:00:00,Bus,Tottenham Court Road,Ice,Off-Peak,35,15,3,12,100
30798,2022-04-29 14:00:00,Train,Waterloo,Clear,Off-Peak,10,3,39,10,48
30799,2022-04-29 15:00:00,Tram,Elmers End,Clear,Rush Hour,0,-5,25,4,77
30800,2022-04-29 16:00:00,Tube,Leicester Square,Wind,Rush Hour,20,0,20,0,48
30801,2022-04-29 17:00:00,Bus,Waterloo,Fog,Rush Hour,25,-5,44,33,91
30802,2022-04-29 18:00:00,DLR,Canary Wharf,Fog,Off-Peak,20,16,15,31,91
30803,2022-04-29 19:00:00,Train,Waterloo,Wind,Off-Peak,20,7,47,12,80
30804,2022-04-29 20:00:00,Train,Victoria,Snow,Off-Peak,30,32,22,16,50
30805,2022-04-29 21:00:00,Tube,Piccadilly Circus,Snow,Off-Peak,10,34,23,1,61
30806,2022-04-29 22:00:00,Bus,Soho,Snow,Off-Peak,20,25,8,20,80
30807,2022-04-29 23:00:00,Tram,South Wimbledon,Fog,Off-Peak,40,9,18,20,84
30808,2022-04-30 00:00:00,Tube,Waterloo,Rain,Rush Hour,5,-4,26,5,98
30809,2022-04-30 01:00:00,Tram,East Croydon,Clear,Rush Hour,0,25,39,29,66
30810,2022-04-30 02:00:00,DLR,Bank,Ice,Rush Hour,35,20,30,14,69
30811,2022-04-30 03:00:00,Bus,Soho,Rain,Off-Peak,5,-4,50,14,45
30812,2022-04-30 04:00:00,DLR,Poplar,Fog,Off-Peak,30,5,0,8,72
30813,2022-04-30 05:00:00,Tube,Waterloo,Snow,Off-Peak,20,27,12,11,100
30814,2022-04-30 06:00:00,Bus,Victoria,Ice,Off-Peak,45,12,44,6,92
30815,2022-04-30 07:00:00,Bus,Waterloo,Clear,Off-Peak,0,15,3,23,61
30816,2022-04-30 08:00:00,No Service,Green Park,Fog,Off-Peak,40,25,24,20,65
30817,2022-04-30 09:00:00,No Service,Soho,Clear,Off-Peak,10,20,9,8,45
30818,2022-04-30 10:00:00,No Service,Tottenham Court Road,Wind,Off-Peak,25,24,22,31,72
30819,2022-04-30 11:00:00,No Service,Waterloo,Wind,Off-Peak,25,33,42,1,49
30820,2022-04-30 12:00:00,No Service,Tottenham Court Road,Wind,Off-Peak,25,15,29,6,76
30821,2022-04-30 13:00:00,DLR,Lewisham,Fog,Off-Peak,20,10,13,1,40
30822,2022-04-30 14:00:00,Tram,New Addington,Ice,Off-Peak,40,1,31,11,83
30823,2022-04-30 15:00:00,Train,Victoria,Wind,Rush Hour,10,16,29,14,54
30824,2022-04-30 16:00:00,Train,Clapham Junction,Ice,Rush Hour,30,1,4,34,62
30825,2022-04-30 17:00:00,Tram,Beckenham Junction,Fog,Rush Hour,30,-4,44,5,51
30826,2022-04-30 18:00:00,Tram,New Addington,Clear,Off-Peak,0,31,14,6,57
30827,2022-04-30 19:00:00,Bus,Liverpool Street,Fog,Off-Peak,25,8,16,10,86
30828,2022-04-30 20:00:00,DLR,Canary Wharf,Ice,Off-Peak,25,2,47,2,88
30829,2022-04-30 21:00:00,Train,Victoria,Rain,Off-Peak,15,23,32,33,55
30830,2022-04-30 22:00:00,Bus,Waterloo,Ice,Off-Peak,45,1,11,30,66
30831,2022-04-30 23:00:00,Train,Victoria,Clear,Off-Peak,10,32,24,20,95
30832,2022-05-01 00:00:00,DLR,Bank,Wind,Rush Hour,20,16,18,28,87
30833,2022-05-01 01:00:00,Tube,Green Park,Snow,Rush Hour,10,11,22,18,67
30834,2022-05-01 02:00:00,Bus,King's Cross,Fog,Rush Hour,35,10,38,6,48
30835,2022-05-01 03:00:00,Tube,Waterloo,Snow,Off-Peak,10,27,4,10,59
30836,2022-05-01 04:00:00,Train,King's Cross,Snow,Off-Peak,40,33,39,2,72
30837,2022-05-01 05:00:00,Bus,Liverpool Street,Snow,Off-Peak,20,29,20,38,96
30838,2022-05-01 06:00:00,DLR,Poplar,Ice,Off-Peak,35,32,35,32,65
30839,2022-05-01 07:00:00,Bus,Soho,Ice,Off-Peak,45,26,13,27,68
30840,2022-05-01 08:00:00,No Service,Shadwell,Clear,Off-Peak,0,-3,5,38,68
30841,2022-05-01 09:00:00,No Service,East Croydon,Wind,Off-Peak,15,-3,18,31,40
30842,2022-05-01 10:00:00,No Service,Piccadilly Circus,Fog,Off-Peak,50,2,3,3,56
30843,2022-05-01 11:00:00,No Service,Stratford,Rain,Off-Peak,5,25,23,34,83
30845,2022-05-01 12:00:00,Tram,East Croydon,Wind,Off-Peak,25,3,25,16,56
30846,2022-05-01 13:00:00,Tube,Oxford Circus,Ice,Off-Peak,25,-1,41,34,71
30847,2022-05-01 14:00:00,Tram,New Addington,Ice,Rush Hour,40,22,18,36,56
30848,2022-05-01 15:00:00,Train,Paddington,Snow,Rush Hour,30,9,31,25,76
30849,2022-05-01 16:00:00,Train,Victoria,Snow,Rush Hour,30,21,41,16,51
30850,2022-05-01 17:00:00,DLR,Canary Wharf,Wind,Off-Peak,10,25,44,33,50
30851,2022-05-01 18:00:00,Bus,Victoria,Rain,Off-Peak,15,34,34,7,67
30852,2022-05-01 19:00:00,Train,Euston,Rain,Off-Peak,15,12,39,8,60
30853,2022-05-01 20:00:00,DLR,Bank,Ice,Off-Peak,25,32,41,6,41
30854,2022-05-01 21:00:00,Bus,Oxford Circus,Rain,Off-Peak,15,-2,1,0,96
30855,2022-05-01 22:00:00,Tram,South Wimbledon,Ice,Off-Peak,40,15,32,39,59
30856,2022-05-01 23:00:00,DLR,Shadwell,Snow,Rush Hour,25,17,9,40,99
30857,2022-05-02 00:00:00,Tube,Green Park,Clear,Rush Hour,0,16,44,15,59
30858,2022-05-02 01:00:00,Bus,Liverpool Street,Rain,Rush Hour,15,-5,32,1,75
30859,2022-05-02 02:00:00,Train,Victoria,Snow,Off-Peak,40,19,22,7,88
30860,2022-05-02 03:00:00,Train,Victoria,Ice,Off-Peak,40,22,33,21,87
30861,2022-05-02 04:00:00,Bus,Tottenham Court Road,Wind,Off-Peak,25,31,41,26,72
30862,2022-05-02 05:00:00,Tube,Green Park,Fog,Off-Peak,50,5,35,17,56
30863,2022-05-02 06:00:00,Tube,Piccadilly Circus,Snow,Off-Peak,20,16,29,15,92
30864,2022-05-02 07:00:00,No Service,Tower Gateway,Ice,Off-Peak,25,19,38,25,56
30865,2022-05-02 08:00:00,No Service,Stratford,Ice,Off-Peak,25,15,4,21,58
30866,2022-05-02 09:00:00,No Service,Addiscombe,Clear,Off-Peak,10,30,20,0,44
30867,2022-05-02 10:00:00,No Service,Victoria,Wind,Off-Peak,15,14,15,31,53
30868,2022-05-02 11:00:00,No Service,South Wimbledon,Wind,Off-Peak,25,10,6,21,53
30870,2022-05-02 12:00:00,Bus,Soho,Clear,Off-Peak,0,22,8,26,78
30871,2022-05-02 13:00:00,DLR,Stratford,Clear,Rush Hour,10,23,40,37,55
30873,2022-05-02 14:00:00,DLR,Lewisham,Ice,Rush Hour,35,20,42,32,88
30874,2022-05-02 15:00:00,Tram,Wimbledon,Snow,Off-Peak,35,34,23,29,43
30875,2022-05-02 16:00:00,DLR,Shadwell,Fog,Off-Peak,20,-4,48,18,49
30876,2022-05-02 17:00:00,Tube,Piccadilly Circus,Rain,Off-Peak,15,4,25,32,90
30877,2022-05-02 18:00:00,Train,King's Cross,Ice,Off-Peak,30,7,31,24,63
30878,2022-05-02 19:00:00,Bus,Liverpool Street,Fog,Off-Peak,35,9,42,5,69
30879,2022-05-02 20:00:00,Train,Paddington,Fog,Off-Peak,15,3,26,28,70
30880,2022-05-02 21:00:00,Tram,Beckenham Junction,Wind,Rush Hour,25,21,40,14,85
30881,2022-05-02 22:00:00,DLR,Poplar,Clear,Rush Hour,10,2,18,11,100
30882,2022-05-02 23:00:00,Train,Euston,Wind,Rush Hour,10,0,7,37,63
30883,2022-05-03 00:00:00,Bus,Soho,Rain,Off-Peak,15,30,36,14,66
30884,2022-05-03 01:00:00,Tube,Kings Cross St Pancras,Wind,Off-Peak,30,18,5,30,71
30885,2022-05-03 02:00:00,Tram,Wimbledon,Clear,Off-Peak,0,-3,18,0,47
30886,2022-05-03 03:00:00,DLR,Lewisham,Fog,Off-Peak,20,20,42,19,68
30888,2022-05-03 04:00:00,No Service,Elmers End,Rain,Off-Peak,10,30,22,28,55
30889,2022-05-03 05:00:00,No Service,Leicester Square,Snow,Off-Peak,10,15,1,10,44
30890,2022-05-03 06:00:00,No Service,Shadwell,Clear,Off-Peak,10,7,2,8,59
30891,2022-05-03 07:00:00,No Service,Oxford Circus,Ice,Off-Peak,35,5,1,15,54
30892,2022-05-03 08:00:00,No Service,Tottenham Court Road,Snow,Off-Peak,30,2,12,15,54
30893,2022-05-03 09:00:00,DLR,Poplar,Rain,Off-Peak,5,8,31,32,98
30894,2022-05-03 10:00:00,Tube,Green Park,Clear,Off-Peak,10,27,42,18,59
30895,2022-05-03 11:00:00,Tube,Piccadilly Circus,Wind,Rush Hour,20,-4,24,24,48
30896,2022-05-03 12:00:00,Tube,Green Park,Ice,Rush Hour,25,-5,42,33,67
30897,2022-05-03 13:00:00,Train,King's Cross,Wind,Rush Hour,10,5,12,38,78
30898,2022-05-03 14:00:00,Tube,Kings Cross St Pancras,Ice,Off-Peak,25,0,29,23,89
30899,2022-05-03 15:00:00,Tube,Waterloo,Ice,Off-Peak,25,26,18,31,83
30900,2022-05-03 16:00:00,Tram,Beckenham Junction,Ice,Off-Peak,40,9,23,38,46
30901,2022-05-03 17:00:00,Tram,New Addington,Ice,Off-Peak,50,6,44,2,62
30902,2022-05-03 18:00:00,DLR,Lewisham,Wind,Off-Peak,10,31,32,12,63
30903,2022-05-03 19:00:00,Bus,Waterloo,Wind,Off-Peak,15,23,12,29,55
30904,2022-05-03 20:00:00,Tube,Oxford Circus,Ice,Rush Hour,35,16,30,22,95
30905,2022-05-03 21:00:00,DLR,Shadwell,Fog,Rush Hour,20,8,37,29,61
30906,2022-05-03 22:00:00,Tube,Piccadilly Circus,Fog,Rush Hour,50,13,7,11,98
30907,2022-05-03 23:00:00,Bus,Tottenham Court Road,Clear,Off-Peak,10,-1,29,37,62
30908,2022-05-04 00:00:00,Tube,Green Park,Clear,Off-Peak,0,29,18,23,58
30909,2022-05-04 01:00:00,Bus,Tottenham Court Road,Rain,Off-Peak,5,19,31,23,51
30910,2022-05-04 02:00:00,Tube,Baker Street,Rain,Off-Peak,15,32,29,29,90
30911,2022-05-04 03:00:00,Bus,Oxford Circus,Clear,Off-Peak,0,3,45,16,65
30912,2022-05-04 04:00:00,No Service,Victoria,Fog,Off-Peak,35,1,37,14,88
30913,2022-05-04 05:00:00,No Service,Baker Street,Ice,Off-Peak,25,12,16,35,95
30914,2022-05-04 06:00:00,No Service,Addiscombe,Ice,Off-Peak,50,-4,33,23,72
30915,2022-05-04 07:00:00,No Service,Piccadilly Circus,Rain,Off-Peak,5,4,15,31,98
30916,2022-05-04 08:00:00,No Service,Canary Wharf,Clear,Off-Peak,0,-4,36,23,98
30917,2022-05-04 09:00:00,Train,Victoria,Ice,Off-Peak,30,2,5,2,80
30918,2022-05-04 10:00:00,Tube,Green Park,Wind,Off-Peak,20,1,1,0,78
30919,2022-05-04 11:00:00,Train,King's Cross,Rain,Rush Hour,15,29,4,19,41
30920,2022-05-04 12:00:00,Bus,Oxford Circus,Fog,Rush Hour,35,17,41,20,91
30921,2022-05-04 13:00:00,Train,Paddington,Wind,Rush Hour,10,2,18,11,96
30922,2022-05-04 14:00:00,Tube,Baker Street,Fog,Off-Peak,40,15,0,35,96
30923,2022-05-04 15:00:00,DLR,Stratford,Clear,Off-Peak,0,27,37,20,56
30924,2022-05-04 16:00:00,Tram,Wimbledon,Wind,Off-Peak,15,-5,24,18,98
30925,2022-05-04 17:00:00,Bus,Oxford Circus,Ice,Off-Peak,35,6,15,18,50
30926,2022-05-04 18:00:00,DLR,Poplar,Fog,Off-Peak,20,5,29,36,44
30927,2022-05-04 19:00:00,DLR,Lewisham,Wind,Off-Peak,20,24,29,1,80
30928,2022-05-04 20:00:00,Bus,Tottenham Court Road,Snow,Rush Hour,30,-2,9,32,47
30929,2022-05-04 21:00:00,Train,Clapham Junction,Snow,Rush Hour,40,28,39,36,98
30930,2022-05-04 22:00:00,Tram,Addiscombe,Wind,Rush Hour,25,17,23,9,80
30931,2022-05-04 23:00:00,Tram,Elmers End,Rain,Off-Peak,20,26,20,31,59
30932,2022-05-05 00:00:00,Train,London Bridge,Fog,Off-Peak,15,-3,50,29,66
30933,2022-05-05 01:00:00,Tram,Wimbledon,Snow,Off-Peak,35,22,38,16,96
30934,2022-05-05 02:00:00,Tube,Piccadilly Circus,Rain,Off-Peak,15,-2,14,29,66
30935,2022-05-05 03:00:00,DLR,Stratford,Clear,Off-Peak,10,6,4,13,94
30936,2022-05-05 04:00:00,No Service,Stratford,Wind,Off-Peak,10,18,35,4,69
30937,2022-05-05 05:00:00,No Service,King's Cross,Ice,Off-Peak,35,27,50,35,73
30939,2022-05-05 06:00:00,No Service,Tower Gateway,Rain,Off-Peak,5,-3,50,12,81
30940,2022-05-05 07:00:00,No Service,Wimbledon,Clear,Off-Peak,10,-2,41,15,63
30941,2022-05-05 08:00:00,Tube,Oxford Circus,Ice,Off-Peak,35,24,21,12,51
30942,2022-05-05 09:00:00,DLR,Canary Wharf,Snow,Off-Peak,25,0,7,28,68
30943,2022-05-05 10:00:00,DLR,Shadwell,Rain,Rush Hour,5,24,30,23,99
30944,2022-05-05 11:00:00,Tube,Leicester Square,Clear,Rush Hour,10,2,0,17,95
30945,2022-05-05 12:00:00,Tube,Piccadilly Circus,Wind,Rush Hour,30,12,19,38,85
30946,2022-05-05 13:00:00,DLR,Lewisham,Wind,Off-Peak,20,10,27,7,48
30947,2022-05-05 14:00:00,DLR,Stratford,Wind,Off-Peak,10,0,30,4,97
30948,2022-05-05 15:00:00,DLR,Stratford,Wind,Off-Peak,20,18,23,13,53
30949,2022-05-05 16:00:00,Train,Clapham Junction,Clear,Off-Peak,0,22,44,2,58
30950,2022-05-05 17:00:00,Bus,Tottenham Court Road,Ice,Off-Peak,45,26,6,5,80
30951,2022-05-05 18:00:00,DLR,Bank,Clear,Off-Peak,0,19,1,16,85
30952,2022-05-05 19:00:00,Train,Paddington,Rain,Rush Hour,15,22,8,28,93
30953,2022-05-05 20:00:00,Bus,Tottenham Court Road,Clear,Rush Hour,0,15,18,21,96
30954,2022-05-05 21:00:00,Tram,New Addington,Fog,Rush Hour,30,2,40,40,69
30955,2022-05-05 22:00:00,Bus,Liverpool Street,Ice,Off-Peak,35,30,48,33,50
30956,2022-05-05 23:00:00,Tube,Green Park,Ice,Off-Peak,25,3,24,5,61
30957,2022-05-06 00:00:00,Train,Clapham Junction,Rain,Off-Peak,15,34,22,40,83
30958,2022-05-06 01:00:00,Tram,New Addington,Ice,Off-Peak,40,15,49,26,71
30959,2022-05-06 02:00:00,Tram,Beckenham Junction,Wind,Off-Peak,15,-5,9,13,75
30961,2022-05-06 03:00:00,No Service,Wimbledon,Fog,Off-Peak,40,-2,22,19,76
30962,2022-05-06 04:00:00,No Service,Lewisham,Ice,Off-Peak,35,4,32,26,44
30963,2022-05-06 05:00:00,No Service,Baker Street,Rain,Off-Peak,5,20,42,2,58
30965,2022-05-06 06:00:00,Bus,Liverpool Street,Ice,Off-Peak,45,34,18,16,85
30966,2022-05-06 07:00:00,Tube,Green Park,Rain,Off-Peak,15,-3,50,3,76
30967,2022-05-06 08:00:00,Tram,New Addington,Clear,Rush Hour,0,3,33,12,79
30968,2022-05-06 09:00:00,Train,Clapham Junction,Fog,Rush Hour,15,26,36,0,59
30969,2022-05-06 10:00:00,DLR,Lewisham,Snow,Rush Hour,25,-3,2,40,62
30970,2022-05-06 11:00:00,DLR,Stratford,Fog,Off-Peak,20,-2,44,20,54
30971,2022-05-06 12:00:00,DLR,Bank,Fog,Off-Peak,30,0,6,2,72
30972,2022-05-06 13:00:00,Train,Paddington,Clear,Off-Peak,0,3,42,24,42
30973,2022-05-06 14:00:00,Tube,Oxford Circus,Wind,Off-Peak,30,20,48,0,83
30974,2022-05-06 15:00:00,DLR,Poplar,Snow,Off-Peak,15,-4,0,13,59
30975,2022-05-06 16:00:00,Tube,Waterloo,Clear,Off-Peak,0,-4,35,33,44
30976,2022-05-06 17:00:00,DLR,Shadwell,Ice,Rush Hour,35,15,0,39,75
30977,2022-05-06 18:00:00,Train,Euston,Fog,Rush Hour,25,16,40,2,61
30978,2022-05-06 19:00:00,DLR,Bank,Clear,Rush Hour,0,-3,29,8,56
30979,2022-05-06 20:00:00,Train,Euston,Fog,Off-Peak,15,29,49,4,86
30980,2022-05-06 21:00:00,Tube,Baker Street,Clear,Off-Peak,10,32,31,24,78
30981,2022-05-06 22:00:00,Tram,South Wimbledon,Fog,Off-Peak,40,27,48,32,56
30982,2022-05-06 23:00:00,Tube,Green Park,Ice,Off-Peak,25,9,18,4,96
30983,2022-05-07 00:00:00,Tube,Kings Cross St Pancras,Rain,Off-Peak,5,5,46,11,45
30984,2022-05-07 01:00:00,No Service,Green Park,Rain,Off-Peak,15,4,9,38,89
30985,2022-05-07 02:00:00,No Service,Baker Street,Snow,Off-Peak,10,30,43,10,55
30989,2022-05-07 03:00:00,Train,King's Cross,Wind,Off-Peak,10,8,47,32,41
30990,2022-05-07 04:00:00,Tram,East Croydon,Ice,Off-Peak,40,-4,43,15,54
30991,2022-05-07 05:00:00,Bus,Liverpool Street,Clear,Rush Hour,0,31,32,2,45
30992,2022-05-07 06:00:00,Tram,Addiscombe,Clear,Rush Hour,0,23,44,4,80
30993,2022-05-07 07:00:00,Tube,Green Park,Wind,Rush Hour,20,29,3,39,41
30994,2022-05-07 08:00:00,Tube,Waterloo,Clear,Off-Peak,0,14,19,18,91
30995,2022-05-07 09:00:00,Tube,Green Park,Rain,Off-Peak,15,15,43,10,94
30996,2022-05-07 10:00:00,Train,King's Cross,Rain,Off-Peak,5,28,50,20,42
30997,2022-05-07 11:00:00,Tram,East Croydon,Rain,Off-Peak,10,27,14,8,44
30998,2022-05-07 12:00:00,Tram,New Addington,Wind,Off-Peak,15,13,40,17,65
30999,2022-05-07 13:00:00,DLR,Poplar,Fog,Off-Peak,20,2,29,11,61
31000,2022-05-07 14:00:00,DLR,Canary Wharf,Rain,Rush Hour,5,25,6,38,76
31001,2022-05-07 15:00:00,DLR,Canary Wharf,Snow,Rush Hour,15,5,37,22,49
31002,2022-05-07 16:00:00,Tube,Waterloo,Fog,Rush Hour,40,2,40,37,63
31003,2022-05-07 17:00:00,DLR,Bank,Snow,Off-Peak,15,19,17,39,77
31004,2022-05-07 18:00:00,Tube,Leicester Square,Ice,Off-Peak,25,14,29,12,92
31005,2022-05-07 19:00:00,DLR,Poplar,Ice,Off-Peak,25,32,7,34,54
31006,2022-05-07 20:00:00,Tram,New Addington,Ice,Off-Peak,40,1,20,27,77
31007,2022-05-07 21:00:00,Bus,Oxford Circus,Clear,Off-Peak,10,7,49,34,83
31008,2022-05-07 22:00:00,No Service,East Croydon,Rain,Off-Peak,20,33,44,22,52
31009,2022-05-07 23:00:00,No Service,Wimbledon,Rain,Off-Peak,20,4,6,14,71
31011,2022-05-08 00:00:00,No Service,Victoria,Clear,Off-Peak,0,2,43,7,81
31012,2022-05-08 01:00:00,No Service,Victoria,Wind,Off-Peak,25,14,4,14,44
31013,2022-05-08 02:00:00,Train,London Bridge,Clear,Off-Peak,0,11,31,0,83
31014,2022-05-08 03:00:00,Train,Victoria,Wind,Off-Peak,20,5,15,34,52
31015,2022-05-08 04:00:00,Tube,Kings Cross St Pancras,Snow,Rush Hour,10,10,39,11,50
31016,2022-05-08 05:00:00,Tram,Addiscombe,Clear,Rush Hour,10,31,25,8,73
31017,2022-05-08 06:00:00,Bus,King's Cross,Wind,Rush Hour,15,26,26,38,73
31018,2022-05-08 07:00:00,Tube,Oxford Circus,Rain,Off-Peak,5,20,38,32,91
31019,2022-05-08 08:00:00,Tram,Elmers End,Snow,Off-Peak,35,31,27,20,94
31020,2022-05-08 09:00:00,Train,Victoria,Ice,Off-Peak,40,3,32,30,89
31021,2022-05-08 10:00:00,Tram,Beckenham Junction,Clear,Off-Peak,10,29,1,29,48
31022,2022-05-08 11:00:00,Tube,Leicester Square,Fog,Off-Peak,50,-3,40,18,66
31023,2022-05-08 12:00:00,Tube,Leicester Square,Clear,Off-Peak,0,25,14,33,81
31024,2022-05-08 13:00:00,Train,Victoria,Fog,Rush Hour,15,1,38,16,69
31025,2022-05-08 14:00:00,Bus,Liverpool Street,Snow,Rush Hour,30,-4,6,33,74
31026,2022-05-08 15:00:00,DLR,Stratford,Ice,Rush Hour,25,19,19,0,42
31027,2022-05-08 16:00:00,Bus,Oxford Circus,Ice,Off-Peak,45,34,12,24,83
31028,2022-05-08 17:00:00,DLR,Poplar,Snow,Off-Peak,15,6,31,34,63
31029,2022-05-08 18:00:00,Train,Clapham Junction,Snow,Off-Peak,40,24,28,9,96
31030,2022-05-08 19:00:00,Bus,Oxford Circus,Wind,Off-Peak,25,24,3,32,79
31031,2022-05-08 20:00:00,Bus,Soho,Clear,Off-Peak,0,23,18,13,68
31033,2022-05-08 21:00:00,No Service,Soho,Clear,Off-Peak,0,5,9,5,51
31034,2022-05-08 22:00:00,No Service,South Wimbledon,Fog,Off-Peak,40,17,35,19,76
31035,2022-05-08 23:00:00,No Service,Lewisham,Fog,Off-Peak,20,11,11,11,59
31037,2022-05-09 00:00:00,Tube,Piccadilly Circus,Ice,Off-Peak,25,7,21,26,41
31038,2022-05-09 01:00:00,Bus,Oxford Circus,Ice,Off-Peak,35,27,26,10,47
31040,2022-05-09 02:00:00,DLR,Lewisham,Snow,Rush Hour,15,-5,34,14,55
31041,2022-05-09 03:00:00,Train,Waterloo,Ice,Rush Hour,30,34,39,27,99
31042,2022-05-09 04:00:00,Train,Clapham Junction,Fog,Off-Peak,25,7,16,37,66
31043,2022-05-09 05:00:00,Bus,Waterloo,Rain,Off-Peak,5,32,5,1,72
31044,2022-05-09 06:00:00,Bus,Waterloo,Ice,Off-Peak,45,-3,44,13,63
31045,2022-05-09 07:00:00,DLR,Lewisham,Ice,Off-Peak,35,10,49,4,81
31046,2022-05-09 08:00:00,Bus,Soho,Clear,Off-Peak,10,1,47,36,52
31047,2022-05-09 09:00:00,Train,Paddington,Rain,Off-Peak,15,-3,42,9,62
31048,2022-05-09 10:00:00,Bus,Oxford Circus,Wind,Rush Hour,15,8,13,13,67
31049,2022-05-09 11:00:00,DLR,Stratford,Clear,Rush Hour,10,10,32,17,51
31050,2022-05-09 12:00:00,Tube,Piccadilly Circus,Clear,Rush Hour,10,-2,43,33,41
31051,2022-05-09 13:00:00,Tube,Piccadilly Circus,Rain,Off-Peak,5,25,27,16,92
31052,2022-05-09 14:00:00,Tram,South Wimbledon,Clear,Off-Peak,0,7,37,27,90
31053,2022-05-09 15:00:00,DLR,Lewisham,Rain,Off-Peak,5,21,6,37,52
31057,2022-05-09 16:00:00,No Service,Stratford,Fog,Off-Peak,30,-5,10,30,53
31058,2022-05-09 17:00:00,No Service,Tottenham Court Road,Ice,Off-Peak,35,19,32,32,86
31060,2022-05-09 18:00:00,No Service,Canary Wharf,Wind,Off-Peak,10,31,2,35,82
31061,2022-05-09 19:00:00,Tube,Oxford Circus,Rain,Off-Peak,15,5,21,3,65
31062,2022-05-09 20:00:00,DLR,Lewisham,Fog,Off-Peak,20,3,12,36,61
31063,2022-05-09 21:00:00,Train,London Bridge,Rain,Rush Hour,5,1,28,22,73
31064,2022-05-09 22:00:00,Tram,Addiscombe,Rain,Rush Hour,20,8,5,20,40
31065,2022-05-09 23:00:00,Train,Euston,Fog,Rush Hour,25,24,41,24,83
31066,2022-05-10 00:00:00,Bus,Oxford Circus,Clear,Off-Peak,10,18,38,14,43
31067,2022-05-10 01:00:00,Tram,Wimbledon,Rain,Off-Peak,20,-3,42,13,55
31068,2022-05-10 02:00:00,Tube,Kings Cross St Pancras,Ice,Off-Peak,25,33,27,12,48
31069,2022-05-10 03:00:00,Tube,Kings Cross St Pancras,Snow,Off-Peak,20,21,14,32,91
31070,2022-05-10 04:00:00,Train,King's Cross,Wind,Off-Peak,10,-5,23,20,90
31071,2022-05-10 05:00:00,DLR,Bank,Snow,Off-Peak,15,32,42,23,77
31072,2022-05-10 06:00:00,Tram,Wimbledon,Wind,Rush Hour,15,20,49,24,86
31073,2022-05-10 07:00:00,Tram,South Wimbledon,Wind,Rush Hour,15,0,25,34,83
31074,2022-05-10 08:00:00,Tube,Oxford Circus,Ice,Rush Hour,25,6,0,22,70
31075,2022-05-10 09:00:00,Tube,Waterloo,Wind,Off-Peak,20,32,25,3,96
31076,2022-05-10 10:00:00,DLR,Stratford,Fog,Off-Peak,30,29,45,20,61
31077,2022-05-10 11:00:00,DLR,Poplar,Clear,Off-Peak,0,4,30,37,41
31078,2022-05-10 12:00:00,Bus,Waterloo,Ice,Off-Peak,35,3,22,23,88
31079,2022-05-10 13:00:00,Tram,Addiscombe,Wind,Off-Peak,25,17,31,25,45
31081,2022-05-10 14:00:00,No Service,Waterloo,Rain,Off-Peak,15,24,43,24,54
31082,2022-05-10 15:00:00,No Service,Lewisham,Snow,Off-Peak,25,16,0,7,93
31084,2022-05-10 16:00:00,No Service,Waterloo,Fog,Off-Peak,25,3,17,5,57
31085,2022-05-10 17:00:00,Bus,Waterloo,Wind,Off-Peak,15,13,16,35,79
31086,2022-05-10 18:00:00,Tram,Addiscombe,Rain,Off-Peak,20,2,45,33,91
31087,2022-05-10 19:00:00,Bus,King's Cross,Ice,Rush Hour,45,-2,43,39,47
31088,2022-05-10 20:00:00,Tram,South Wimbledon,Snow,Rush Hour,25,-1,27,2,89
31089,2022-05-10 21:00:00,Bus,Oxford Circus,Snow,Rush Hour,30,13,0,15,67
31090,2022-05-10 22:00:00,DLR,Lewisham,Fog,Off-Peak,20,12,50,5,66
31091,2022-05-10 23:00:00,Tram,Elmers End,Rain,Off-Peak,20,23,35,20,92
31092,2022-05-11 00:00:00,Train,Clapham Junction,Ice,Off-Peak,30,13,4,2,66
31093,2022-05-11 01:00:00,Train,London Bridge,Ice,Off-Peak,40,0,4,0,66
31094,2022-05-11 02:00:00,Tube,Kings Cross St Pancras,Clear,Off-Peak,10,-1,1,6,49
31095,2022-05-11 03:00:00,DLR,Canary Wharf,Clear,Off-Peak,10,-1,10,23,83
31096,2022-05-11 04:00:00,DLR,Tower Gateway,Ice,Rush Hour,25,2,34,19,73
31097,2022-05-11 05:00:00,Tube,Waterloo,Ice,Rush Hour,35,21,29,33,71
31098,2022-05-11 06:00:00,Train,London Bridge,Wind,Rush Hour,10,31,31,7,51
31099,2022-05-11 07:00:00,DLR,Canary Wharf,Clear,Off-Peak,10,32,7,24,65
31100,2022-05-11 08:00:00,Train,Victoria,Wind,Off-Peak,20,31,1,37,88
31101,2022-05-11 09:00:00,Train,Victoria,Rain,Off-Peak,15,12,35,27,66
31102,2022-05-11 10:00:00,DLR,Poplar,Wind,Off-Peak,20,20,38,36,51
31103,2022-05-11 11:00:00,Tram,Addiscombe,Snow,Off-Peak,35,10,24,24,76
31104,2022-05-11 12:00:00,No Service,Elmers End,Wind,Off-Peak,25,16,18,11,70
31105,2022-05-11 13:00:00,No Service,Shadwell,Fog,Off-Peak,30,17,50,19,72
31107,2022-05-11 14:00:00,No Service,Beckenham Junction,Ice,Off-Peak,50,-3,6,17,40
31108,2022-05-11 15:00:00,No Service,Kings Cross St Pancras,Fog,Off-Peak,50,-3,39,32,52
31109,2022-05-11 16:00:00,Tube,Waterloo,Wind,Off-Peak,30,6,13,32,69
